Content ID,Reaction Type,Datetime,Content Type,Category,Sentiment,Score
7913b30d-19fd-4900-8a68-ce141192b3ec,super love,12/3/2020 17:51,audio,cooking,positive,75
10683ab8-914b-43ae-ad2d-b2fd6a48dc33,super love,11/17/2020 6:19,audio,soccer,positive,75
d624685f-99a7-4aee-902b-283f5cf85ada,super love,10/8/2020 3:26,photo,studying,positive,75
5b71c62f-2c89-4d19-991f-65fedd0b52fd,super love,1/22/2021 9:44,video,education,positive,75
9c8be342-6cff-4d80-bf94-fd0fd8ccd845,super love,6/5/2021 19:24,video,dogs,positive,75
9c8be342-6cff-4d80-bf94-fd0fd8ccd845,super love,10/20/2020 5:01,video,dogs,positive,75
9c8be342-6cff-4d80-bf94-fd0fd8ccd845,super love,7/29/2020 14:22,video,dogs,positive,75
9c8be342-6cff-4d80-bf94-fd0fd8ccd845,super love,2/24/2021 19:45,video,dogs,positive,75
9c8be342-6cff-4d80-bf94-fd0fd8ccd845,super love,10/20/2020 17:07,video,dogs,positive,75
d0f8e229-c57e-460c-a08f-59672c606151,super love,7/12/2020 11:52,GIF,soccer,positive,75
10683ab8-914b-43ae-ad2d-b2fd6a48dc33,super love,5/10/2021 4:24,audio,soccer,positive,75
10683ab8-914b-43ae-ad2d-b2fd6a48dc33,super love,9/27/2020 14:28,audio,soccer,positive,75
d624685f-99a7-4aee-902b-283f5cf85ada,super love,3/21/2021 15:39,photo,studying,positive,75
c2fbcf27-369b-4385-925a-ca2eca1403c1,super love,12/11/2020 7:27,audio,culture,positive,75
c2fbcf27-369b-4385-925a-ca2eca1403c1,super love,5/13/2021 0:39,audio,culture,positive,75
c2fbcf27-369b-4385-925a-ca2eca1403c1,super love,10/13/2020 20:12,audio,culture,positive,75
15dc9c91-11a7-45d6-ba68-107e6d4dcf7b,super love,11/16/2020 9:23,audio,travel,positive,75
520450a4-c852-4a4e-9383-30657dd07533,super love,6/28/2020 19:04,photo,public speaking,positive,75
520450a4-c852-4a4e-9383-30657dd07533,super love,6/16/2021 0:14,photo,public speaking,positive,75
a881e5c8-4f16-4823-85a8-c595fe220385,super love,11/16/2020 16:19,video,soccer,positive,75
efda0319-e547-484a-84b5-c5041a57502c,super love,1/1/2021 2:14,photo,dogs,positive,75
efda0319-e547-484a-84b5-c5041a57502c,super love,12/10/2020 13:05,photo,dogs,positive,75
d624685f-99a7-4aee-902b-283f5cf85ada,super love,2/22/2021 8:21,photo,studying,positive,75
d624685f-99a7-4aee-902b-283f5cf85ada,super love,9/29/2020 14:39,photo,studying,positive,75
5e813176-850f-4791-a750-4961429c2458,super love,7/14/2020 19:32,GIF,soccer,positive,75
fd0a3090-6b89-4c4e-9192-1aa4db213a3e,super love,10/23/2020 23:44,GIF,cooking,positive,75
cbf66fdd-cd86-4517-8081-181e45f13823,super love,6/4/2021 8:13,photo,science,positive,75
d86a1ec9-a883-44f8-b1ad-2a182c741fe7,super love,3/10/2021 14:11,GIF,public speaking,positive,75
2f5dd79a-8884-4086-ab6f-00b3bea9d366,super love,5/13/2021 5:09,photo,cooking,positive,75
2f5dd79a-8884-4086-ab6f-00b3bea9d366,super love,7/29/2020 3:53,photo,cooking,positive,75
2f5dd79a-8884-4086-ab6f-00b3bea9d366,super love,10/29/2020 3:10,photo,cooking,positive,75
9a25d0c6-1134-41d2-abc4-e893c41363bc,super love,1/19/2021 20:56,video,science,positive,75
fd0a3090-6b89-4c4e-9192-1aa4db213a3e,super love,4/23/2021 8:37,GIF,cooking,positive,75
fd0a3090-6b89-4c4e-9192-1aa4db213a3e,super love,9/5/2020 20:18,GIF,cooking,positive,75
fd0a3090-6b89-4c4e-9192-1aa4db213a3e,super love,7/5/2020 0:55,GIF,cooking,positive,75
0c91753a-0bb4-4b77-a919-96c2f998ad91,super love,7/19/2020 9:45,GIF,fitness,positive,75
d624685f-99a7-4aee-902b-283f5cf85ada,super love,6/19/2020 11:13,photo,studying,positive,75
0c91753a-0bb4-4b77-a919-96c2f998ad91,super love,11/8/2020 8:13,GIF,fitness,positive,75
0c91753a-0bb4-4b77-a919-96c2f998ad91,super love,5/12/2021 21:45,GIF,fitness,positive,75
e1792fe6-28e0-49fc-8b01-0e027461d8b5,super love,6/5/2021 17:01,GIF,technology,positive,75
e1792fe6-28e0-49fc-8b01-0e027461d8b5,super love,8/13/2020 23:06,GIF,technology,positive,75
22cdf77b-00c8-41c3-ad59-333c3e751e2c,super love,12/8/2020 20:21,audio,fitness,positive,75
84a81261-6334-4ba5-978d-26a45d28a44f,super love,5/13/2021 3:23,audio,animals,positive,75
79dfc9a4-42c0-42a5-abe4-2b5d3b8a05ab,super love,10/26/2020 1:14,GIF,culture,positive,75
79dfc9a4-42c0-42a5-abe4-2b5d3b8a05ab,super love,8/4/2020 10:41,GIF,culture,positive,75
965a00aa-3037-4ea6-b6be-26f6fbee029e,super love,1/26/2021 16:23,audio,public speaking,positive,75
efda0319-e547-484a-84b5-c5041a57502c,super love,4/20/2021 20:00,photo,dogs,positive,75
140a5163-66d8-4a11-8d4e-a670483bb852,super love,4/2/2021 4:53,photo,science,positive,75
6796d3e9-ee98-47cb-b057-90cfaf6ebcbb,super love,1/9/2021 12:54,audio,technology,positive,75
70047f87-af62-4674-bf30-a03c9ee9db09,super love,5/12/2021 2:07,video,food,positive,75
f9c0a47d-c96d-4457-a1be-aa7642ea38c1,super love,5/23/2021 3:02,photo,culture,positive,75
2e866dc0-7c14-4e2a-9edb-9ccc1d1bd048,super love,12/9/2020 10:57,photo,culture,positive,75
b62831cc-7447-465b-9c58-1fc659b17310,super love,2/3/2021 12:45,audio,animals,positive,75
b62831cc-7447-465b-9c58-1fc659b17310,super love,11/1/2020 9:37,audio,animals,positive,75
26a2a058-3806-42ef-b1e4-24c6b64f9bdb,super love,8/15/2020 17:46,audio,healthy eating,positive,75
26a2a058-3806-42ef-b1e4-24c6b64f9bdb,super love,10/15/2020 16:55,audio,healthy eating,positive,75
26a2a058-3806-42ef-b1e4-24c6b64f9bdb,super love,10/15/2020 8:55,audio,healthy eating,positive,75
70047f87-af62-4674-bf30-a03c9ee9db09,super love,5/23/2021 18:11,video,food,positive,75
70047f87-af62-4674-bf30-a03c9ee9db09,super love,3/3/2021 4:37,video,food,positive,75
70047f87-af62-4674-bf30-a03c9ee9db09,super love,12/3/2020 7:56,video,food,positive,75
b3c0379a-b71a-4f6f-9fde-ceb636739633,super love,4/24/2021 17:09,video,culture,positive,75
b0cad7dc-6333-4160-8e7f-425182eb4e29,super love,1/1/2021 14:33,GIF,dogs,positive,75
b0cad7dc-6333-4160-8e7f-425182eb4e29,super love,1/13/2021 2:16,GIF,dogs,positive,75
b0cad7dc-6333-4160-8e7f-425182eb4e29,super love,6/9/2021 18:03,GIF,dogs,positive,75
b0cad7dc-6333-4160-8e7f-425182eb4e29,super love,11/14/2020 13:58,GIF,dogs,positive,75
e57d3bd7-da38-492d-a87d-3a643f61fd9c,super love,11/24/2020 5:31,audio,education,positive,75
e57d3bd7-da38-492d-a87d-3a643f61fd9c,super love,3/26/2021 6:45,audio,education,positive,75
e57d3bd7-da38-492d-a87d-3a643f61fd9c,super love,6/6/2021 9:45,audio,education,positive,75
e57d3bd7-da38-492d-a87d-3a643f61fd9c,super love,6/7/2021 13:45,audio,education,positive,75
2f246c65-25f0-4144-b3f1-a180865b1766,super love,8/20/2020 19:04,video,technology,positive,75
f9c0a47d-c96d-4457-a1be-aa7642ea38c1,super love,9/11/2020 20:09,photo,culture,positive,75
b3c0379a-b71a-4f6f-9fde-ceb636739633,super love,7/30/2020 2:31,video,culture,positive,75
51577f6a-e29e-4ed2-93eb-e7bd4eda800a,super love,3/27/2021 14:37,photo,dogs,positive,75
c2373565-f5f1-415f-9786-49ff558c7739,super love,9/20/2020 14:56,GIF,soccer,positive,75
d539c60f-9967-44b0-a11e-26d5dfa43884,super love,3/14/2021 10:51,GIF,fitness,positive,75
d539c60f-9967-44b0-a11e-26d5dfa43884,super love,12/11/2020 5:21,GIF,fitness,positive,75
d539c60f-9967-44b0-a11e-26d5dfa43884,super love,1/20/2021 18:53,GIF,fitness,positive,75
d539c60f-9967-44b0-a11e-26d5dfa43884,super love,4/14/2021 16:37,GIF,fitness,positive,75
0c6e8e2a-7692-4490-b545-f76b0d06697a,super love,5/19/2021 1:21,photo,animals,positive,75
0c6e8e2a-7692-4490-b545-f76b0d06697a,super love,12/26/2020 17:29,photo,animals,positive,75
0c6e8e2a-7692-4490-b545-f76b0d06697a,super love,2/4/2021 22:08,photo,animals,positive,75
0c6e8e2a-7692-4490-b545-f76b0d06697a,super love,4/26/2021 2:59,photo,animals,positive,75
cc253c91-6df6-4de5-ab4e-6d1127620fd6,super love,4/2/2021 6:09,photo,science,positive,75
baadf2d9-ab5b-458d-a3cf-37c39a69be50,super love,4/25/2021 2:30,GIF,technology,positive,75
b3c0379a-b71a-4f6f-9fde-ceb636739633,super love,1/16/2021 11:07,video,culture,positive,75
baadf2d9-ab5b-458d-a3cf-37c39a69be50,super love,7/30/2020 16:20,GIF,technology,positive,75
baadf2d9-ab5b-458d-a3cf-37c39a69be50,super love,12/24/2020 21:50,GIF,technology,positive,75
baadf2d9-ab5b-458d-a3cf-37c39a69be50,super love,8/1/2020 14:51,GIF,technology,positive,75
80f6df7f-517f-4f0e-b6cb-004d61ad2bc8,super love,8/10/2020 8:33,photo,animals,positive,75
87bf6cd4-f955-418b-aa84-9bfffcb4abeb,super love,2/20/2021 21:03,GIF,healthy eating,positive,75
00d0cdf9-5919-4102-bf84-ebde253c3cd2,super love,9/24/2020 9:06,audio,healthy eating,positive,75
00d0cdf9-5919-4102-bf84-ebde253c3cd2,super love,7/4/2020 2:42,audio,healthy eating,positive,75
00d0cdf9-5919-4102-bf84-ebde253c3cd2,super love,4/17/2021 4:00,audio,healthy eating,positive,75
00d0cdf9-5919-4102-bf84-ebde253c3cd2,super love,8/22/2020 21:49,audio,healthy eating,positive,75
18cb1ce7-fb66-4a56-8042-e38c9593ade1,super love,5/29/2021 5:42,photo,animals,positive,75
18cb1ce7-fb66-4a56-8042-e38c9593ade1,super love,10/24/2020 8:22,photo,animals,positive,75
d0c1d7f4-7735-49a9-ab6b-2cdb2338a609,super love,5/19/2021 21:29,GIF,travel,positive,75
e0cb0394-c5b2-447a-a9f4-88604a3ec283,super love,5/27/2021 6:44,audio,public speaking,positive,75
79818849-98f9-4b6b-9be8-4ed4c1ad59a5,super love,4/9/2021 4:50,GIF,fitness,positive,75
79818849-98f9-4b6b-9be8-4ed4c1ad59a5,super love,1/23/2021 10:07,GIF,fitness,positive,75
45630f5a-78c1-46a1-bdc7-79cd11bb3c13,super love,11/8/2020 9:56,photo,travel,positive,75
bb157107-088c-45aa-8d16-5c093a7471c6,super love,9/17/2020 22:01,photo,culture,positive,75
9c6b0084-60ba-4e88-a0c7-ba0f61ec2c11,super love,5/29/2021 10:56,audio,cooking,positive,75
9c6b0084-60ba-4e88-a0c7-ba0f61ec2c11,super love,4/4/2021 16:15,audio,cooking,positive,75
9c6b0084-60ba-4e88-a0c7-ba0f61ec2c11,super love,9/5/2020 13:48,audio,cooking,positive,75
ec6c41c9-509e-43ff-83bb-0e5202b8e62a,super love,4/17/2021 0:29,audio,education,positive,75
ec6c41c9-509e-43ff-83bb-0e5202b8e62a,super love,9/12/2020 19:59,audio,education,positive,75
e0cb0394-c5b2-447a-a9f4-88604a3ec283,super love,10/28/2020 11:19,audio,public speaking,positive,75
475541da-3402-4d0e-9df5-0da198f8fc9c,super love,2/14/2021 21:56,video,culture,positive,75
e0cb0394-c5b2-447a-a9f4-88604a3ec283,super love,8/16/2020 14:04,audio,public speaking,positive,75
02664d35-87cf-46a6-a80b-78fbc9ac8b2f,super love,7/3/2020 11:21,GIF,science,positive,75
02664d35-87cf-46a6-a80b-78fbc9ac8b2f,super love,11/7/2020 12:53,GIF,science,positive,75
bb6c0257-5d4d-4bb8-be58-4bd7ebd9c337,super love,10/18/2020 16:27,video,animals,positive,75
088e2e43-61a8-475f-a3e6-061f626b0f16,super love,7/5/2020 17:53,photo,veganism,positive,75
088e2e43-61a8-475f-a3e6-061f626b0f16,super love,4/10/2021 18:12,photo,veganism,positive,75
088e2e43-61a8-475f-a3e6-061f626b0f16,super love,3/5/2021 9:07,photo,veganism,positive,75
088e2e43-61a8-475f-a3e6-061f626b0f16,super love,4/21/2021 23:35,photo,veganism,positive,75
088e2e43-61a8-475f-a3e6-061f626b0f16,super love,9/9/2020 17:25,photo,veganism,positive,75
475541da-3402-4d0e-9df5-0da198f8fc9c,super love,5/2/2021 10:01,video,culture,positive,75
475541da-3402-4d0e-9df5-0da198f8fc9c,super love,1/16/2021 18:20,video,culture,positive,75
d0c1d7f4-7735-49a9-ab6b-2cdb2338a609,super love,6/1/2021 6:29,GIF,travel,positive,75
c582f515-4d90-4ae6-9ab7-059fdbd7956c,super love,11/9/2020 2:45,audio,technology,positive,75
25290b06-ca05-43eb-8e54-e345a41ddba7,super love,12/1/2020 5:49,photo,education,positive,75
25290b06-ca05-43eb-8e54-e345a41ddba7,super love,9/13/2020 9:55,photo,education,positive,75
2297a93f-370d-47e7-8df3-3d464b3a0c0a,super love,5/31/2021 6:39,video,healthy eating,positive,75
1934a201-0590-41af-bf40-5ddd6254d744,super love,9/21/2020 19:24,photo,education,positive,75
1934a201-0590-41af-bf40-5ddd6254d744,super love,10/31/2020 9:47,photo,education,positive,75
1934a201-0590-41af-bf40-5ddd6254d744,super love,1/30/2021 18:27,photo,education,positive,75
9c066976-30e0-405e-9973-5c4342271a70,super love,8/23/2020 1:01,audio,tennis,positive,75
e6c8f317-c8a9-4b1d-941a-4cd5420a138b,super love,9/11/2020 18:07,GIF,science,positive,75
