Unnamed: 0_x,Content ID,Reaction Type,Datetime,Unnamed: 0_y,Content Type,Category,Unnamed: 0,Sentiment,Score
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,2021-03-28 21:15:26,1,photo,healthy eating,2,negative,0
88,230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,2020-08-04 05:40:33,2,photo,healthy eating,2,negative,0
250,5118e9c5-1377-4cc5-a486-65b35b7b7b76,disgust,2020-11-07 08:49:52,10,GIF,science,2,negative,0
722,34a3747a-0b77-42f6-ae19-87c38b94b674,disgust,2021-04-28 07:00:56,27,GIF,science,2,negative,0
723,34a3747a-0b77-42f6-ae19-87c38b94b674,disgust,2020-08-05 15:37:34,27,GIF,science,2,negative,0
800,f4e3840e-bb71-40c2-afc5-9408d842646d,disgust,2021-03-08 02:51:24,29,photo,healthy eating,2,negative,0
876,02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,disgust,2021-01-17 23:43:53,33,video,cooking,2,negative,0
877,02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,disgust,2020-06-23 11:28:25,33,video,cooking,2,negative,0
963,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,disgust,2020-08-01 08:00:05,36,photo,technology,2,negative,0
965,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,disgust,2020-10-06 11:27:42,36,photo,technology,2,negative,0
979,457301ee-3e87-40d8-8b82-ea4e1fa90e39,disgust,2020-06-30 23:11:07,37,GIF,healthy eating,2,negative,0
986,457301ee-3e87-40d8-8b82-ea4e1fa90e39,disgust,2021-01-16 01:40:32,37,GIF,healthy eating,2,negative,0
987,457301ee-3e87-40d8-8b82-ea4e1fa90e39,disgust,2021-05-21 14:58:32,37,GIF,healthy eating,2,negative,0
995,457301ee-3e87-40d8-8b82-ea4e1fa90e39,disgust,2020-10-01 07:34:15,37,GIF,healthy eating,2,negative,0
1014,457301ee-3e87-40d8-8b82-ea4e1fa90e39,disgust,2020-07-07 12:17:02,37,GIF,healthy eating,2,negative,0
1033,4fa14453-7b29-4302-b51f-9aa23b472c1b,disgust,2020-09-08 15:30:59,38,audio,animals,2,negative,0
1089,4478d98e-43e8-4dc0-884d-c1115aa8b970,disgust,2020-07-05 20:02:47,41,audio,animals,2,negative,0
1206,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,disgust,2020-09-01 06:27:20,45,GIF,healthy eating,2,negative,0
1219,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,disgust,2020-10-27 14:22:41,45,GIF,healthy eating,2,negative,0
1221,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,disgust,2021-03-25 11:15:29,45,GIF,healthy eating,2,negative,0
1394,5ecd7f9d-4184-4836-b1c5-f03e131ba0a7,disgust,2020-10-24 10:08:27,52,video,science,2,negative,0
1398,5ecd7f9d-4184-4836-b1c5-f03e131ba0a7,disgust,2020-08-07 09:07:19,52,video,science,2,negative,0
1410,5ecd7f9d-4184-4836-b1c5-f03e131ba0a7,disgust,2021-01-16 05:51:58,52,video,science,2,negative,0
1416,e442899c-d2d6-4392-be2d-a0b916ae47fb,disgust,2020-09-21 09:10:22,53,video,technology,2,negative,0
1420,e442899c-d2d6-4392-be2d-a0b916ae47fb,disgust,2021-02-04 07:27:14,53,video,technology,2,negative,0
1429,e442899c-d2d6-4392-be2d-a0b916ae47fb,disgust,2021-05-26 13:22:56,53,video,technology,2,negative,0
1444,daab7b1a-fc8d-473e-bbf3-b29f4185ae56,disgust,2020-12-20 01:10:46,54,video,science,2,negative,0
1446,daab7b1a-fc8d-473e-bbf3-b29f4185ae56,disgust,2021-06-03 02:16:45,54,video,science,2,negative,0
1527,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,disgust,2021-02-08 05:08:45,60,GIF,healthy eating,2,negative,0
1537,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,disgust,2021-04-23 03:13:45,60,GIF,healthy eating,2,negative,0
1829,e2c433d2-096e-484e-8c69-28f0bb69f3b7,disgust,2021-01-24 20:52:36,68,audio,science,2,negative,0
1843,e2c433d2-096e-484e-8c69-28f0bb69f3b7,disgust,2020-11-25 19:43:36,68,audio,science,2,negative,0
1854,e2c433d2-096e-484e-8c69-28f0bb69f3b7,disgust,2021-01-26 15:54:27,68,audio,science,2,negative,0
1965,eaddee3e-3a23-47cd-9785-ab7f2120a293,disgust,2020-12-26 09:23:28,72,video,science,2,negative,0
1974,eaddee3e-3a23-47cd-9785-ab7f2120a293,disgust,2021-04-02 21:00:06,72,video,science,2,negative,0
2130,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,disgust,2020-12-29 08:39:57,77,photo,science,2,negative,0
2140,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,disgust,2021-04-27 00:46:44,77,photo,science,2,negative,0
2149,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,disgust,2020-11-20 10:39:52,77,photo,science,2,negative,0
2208,0adb9a94-210a-4e84-bca1-13db9452ff0e,disgust,2021-06-09 06:01:38,80,video,healthy eating,2,negative,0
2213,0adb9a94-210a-4e84-bca1-13db9452ff0e,disgust,2021-04-08 01:19:47,80,video,healthy eating,2,negative,0
2223,0adb9a94-210a-4e84-bca1-13db9452ff0e,disgust,2020-08-31 08:14:33,80,video,healthy eating,2,negative,0
2399,9d94f180-947c-40f5-aa05-f1958759b7fc,disgust,2021-03-13 14:46:31,87,video,science,2,negative,0
2485,fada6910-2cc5-4600-808c-1e6066f795a6,disgust,2020-08-26 19:01:45,91,GIF,technology,2,negative,0
2527,1de2f0f9-61ab-43fb-9180-6870824c63c0,disgust,2020-11-10 01:05:08,94,GIF,science,2,negative,0
2532,1de2f0f9-61ab-43fb-9180-6870824c63c0,disgust,2020-07-07 20:10:39,94,GIF,science,2,negative,0
2591,af7971aa-5fd5-41d3-b6c3-583704a705a2,disgust,2021-01-03 06:27:03,97,video,healthy eating,2,negative,0
2602,af7971aa-5fd5-41d3-b6c3-583704a705a2,disgust,2021-04-20 15:01:31,97,video,healthy eating,2,negative,0
2641,5d8dbd6f-cc78-4f7a-a65c-cd9dde481dd0,disgust,2020-11-24 08:08:35,99,video,healthy eating,2,negative,0
2645,5d8dbd6f-cc78-4f7a-a65c-cd9dde481dd0,disgust,2020-12-21 19:33:48,99,video,healthy eating,2,negative,0
2660,5d8dbd6f-cc78-4f7a-a65c-cd9dde481dd0,disgust,2021-05-04 17:40:53,99,video,healthy eating,2,negative,0
2848,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,2020-10-23 11:36:46,107,GIF,cooking,2,negative,0
2849,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,2021-04-03 22:31:54,107,GIF,cooking,2,negative,0
2854,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,2020-12-23 13:18:04,107,GIF,cooking,2,negative,0
2860,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,2021-04-16 10:24:32,107,GIF,cooking,2,negative,0
2863,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,2020-07-08 21:07:05,107,GIF,cooking,2,negative,0
2864,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,2020-11-13 15:40:16,107,GIF,cooking,2,negative,0
2866,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,2020-09-14 10:32:35,107,GIF,cooking,2,negative,0
2880,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,2020-10-14 23:46:19,107,GIF,cooking,2,negative,0
2882,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,2020-11-01 08:01:26,107,GIF,cooking,2,negative,0
2887,67f2a150-6086-4cbd-8d21-46250ccef5a2,disgust,2021-05-20 00:01:57,107,GIF,cooking,2,negative,0
2900,65545cfb-59bb-4dc1-a38b-82f268210da2,disgust,2020-07-06 14:07:34,108,audio,technology,2,negative,0
2917,65545cfb-59bb-4dc1-a38b-82f268210da2,disgust,2020-09-06 13:50:31,108,audio,technology,2,negative,0
2930,65545cfb-59bb-4dc1-a38b-82f268210da2,disgust,2020-10-15 04:56:29,108,audio,technology,2,negative,0
3073,de9796a6-d19d-4c41-a965-7aa4dcc69fee,disgust,2021-05-06 16:55:56,114,audio,technology,2,negative,0
3074,de9796a6-d19d-4c41-a965-7aa4dcc69fee,disgust,2021-04-05 15:27:40,114,audio,technology,2,negative,0
3260,f01ec49c-3179-43bb-b127-2b1a73f34b06,disgust,2021-01-21 16:00:16,120,photo,animals,2,negative,0
3267,f01ec49c-3179-43bb-b127-2b1a73f34b06,disgust,2021-02-25 22:40:44,120,photo,animals,2,negative,0
3485,d706b190-216c-4103-9107-fb7304766d68,disgust,2020-10-02 15:49:44,130,video,cooking,2,negative,0
3496,d706b190-216c-4103-9107-fb7304766d68,disgust,2021-03-23 01:45:50,130,video,cooking,2,negative,0
3504,d706b190-216c-4103-9107-fb7304766d68,disgust,2021-04-23 13:53:16,130,video,cooking,2,negative,0
3520,d706b190-216c-4103-9107-fb7304766d68,disgust,2021-06-12 14:04:47,130,video,cooking,2,negative,0
3525,d706b190-216c-4103-9107-fb7304766d68,disgust,2021-01-09 13:42:15,130,video,cooking,2,negative,0
3585,2c511a63-5eb5-422f-8483-c9fcf9a29b55,disgust,2020-09-07 18:59:02,132,GIF,technology,2,negative,0
3630,edc4a60a-b5ba-4178-b99e-9d34ed92599c,disgust,2020-07-08 13:41:02,133,audio,technology,2,negative,0
3651,2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,disgust,2020-12-26 08:14:19,134,photo,animals,2,negative,0
3662,2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,disgust,2020-11-14 00:40:44,134,photo,animals,2,negative,0
3673,2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,disgust,2021-05-25 15:23:34,134,photo,animals,2,negative,0
3773,08cc29f3-a22d-4652-8f27-ff9e0a826289,disgust,2020-11-01 06:30:29,138,photo,technology,2,negative,0
3804,a784c1dd-e2ab-408d-a0c3-226a51d420e1,disgust,2020-09-16 15:06:48,139,audio,technology,2,negative,0
3970,6199f5ca-cc02-410d-a408-e034946de162,disgust,2021-04-09 00:41:02,146,video,animals,2,negative,0
3980,6199f5ca-cc02-410d-a408-e034946de162,disgust,2020-11-17 07:00:09,146,video,animals,2,negative,0
3988,6199f5ca-cc02-410d-a408-e034946de162,disgust,2020-08-04 23:23:40,146,video,animals,2,negative,0
3989,6199f5ca-cc02-410d-a408-e034946de162,disgust,2020-07-22 07:50:36,146,video,animals,2,negative,0
4029,bf8e2e7a-7a90-47f8-8dd6-01f8c6aa32ed,disgust,2021-04-20 11:09:09,149,video,science,2,negative,0
4184,7bb8c7ec-8d65-43e8-a9fb-ac01936b18cc,disgust,2021-02-24 18:21:42,157,video,cooking,2,negative,0
4192,7bb8c7ec-8d65-43e8-a9fb-ac01936b18cc,disgust,2020-07-04 05:59:03,157,video,cooking,2,negative,0
4235,93c0f4f6-8c1e-453e-8df0-3015b1e76376,disgust,2020-12-02 01:41:00,159,video,technology,2,negative,0
